"Instrumento","Arquivo","Bytes","Origem"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\01-ld.pdf","29441","https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_3_dividas_04115327.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\02-ldo.pdf","67548","https://www.varginha.mg.gov.br/publicos/metas_e_prioridades__04115157.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\03-ldo.pdf","27039","https://www.varginha.mg.gov.br/publicos/ldo2024-inflacao_e_pib_04115249.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\04-ldo.pdf","29818","https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_2_despesas_04115357.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\05-ldo.pdf","31387","https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_1_receitas_04115432.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\06-ldo.pdf","26756","https://www.varginha.mg.gov.br/publicos/ldo2024-arf_risco_fiscal_04115507.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\07-ldo.pdf","27126","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_8_04115542.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\08-ldo.pdf","26985","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_7_04115614.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\09-ldo.pdf","30529","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_2_04115643.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\10-ldo.pdf","31340","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_1_04115720.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\11-ldo.pdf","32797","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_04115753.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\12-ldo.pdf","27456","https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_5_04115840.pdf"
